state,lok_sabha_no,lok_sabha_constituency,assembly_no,assembly_constituency,ac_short_name,assembly_constituency_normalized,match_by_number,match_by_exact_name,match_by_fuzzy_name,fuzzy_score,fuzzy_candidate,number_lookup_found,exact_name_candidates,failure_reason,resolved_district,resolved_match_method,resolved_mapping_confidence,resolved_match_detail,manual_review
Andhra Pradesh,1,ADILABAD,9.0,Nirmal,Nirmal,NIRMAL,False,False,False,42.10526315789473,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,1,ADILABAD,10.0,Mudhole,Mudhole,MUDHOLE,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,8,SECUNDERABAD,57.0,Musheerabad,Musheerabad,MUSHEERABAD,False,False,False,55.172413793103445,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,11,MAHBUBNAGAR,84.0,Shadnagar,Shadnagar,SHADNAGAR,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,12,NAGARKURNOOL,82.0,Achampet,Achampet,ACHAMPET,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,12,NAGARKURNOOL,83.0,Kalwakurthy,Kalwakurthy,KALWAKURTHY,False,False,False,53.84615384615385,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,12,NAGARKURNOOL,85.0,Kollapur,Kollapur,KOLLAPUR,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,13,NALGONDA,86.0,Devarakonda,Devarakonda,DEVARAKONDA,False,False,False,51.61290322580645,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,13,NALGONDA,87.0,Nagarjuna Sagar,Nagarjuna Sagar,NAGARJUNA SAGAR,False,False,False,60.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,13,NALGONDA,88.0,Miryalaguda,Miryalaguda,MIRYALAGUDA,False,False,False,46.666666666666664,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,13,NALGONDA,89.0,Huzurnagar,Huzurnagar,HUZURNAGAR,False,False,False,53.333333333333336,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,13,NALGONDA,90.0,Kodad,Kodad,KODAD,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,13,NALGONDA,91.0,Suryapet,Suryapet,SURYAPET,False,False,False,54.54545454545454,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,13,NALGONDA,92.0,Nalgonda,Nalgonda,NALGONDA,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,14,BHONGIR,93.0,Munugode,Munugode,MUNUGODE,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,14,BHONGIR,94.0,Bhongir,Bhongir,BHONGIR,False,False,False,40.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,14,BHONGIR,95.0,Nakrekal,Nakrekal,NAKREKAL,False,False,False,47.61904761904761,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,14,BHONGIR,96.0,Thungathurthi,Thungathurthi,THUNGATHURTHI,False,False,False,42.10526315789473,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,14,BHONGIR,97.0,Alair,Alair,ALAIR,False,False,False,47.05882352941176,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,14,BHONGIR,98.0,Jangaon,Jangaon,JANGAON,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,14,BHONGIR,,,,,False,False,False,,,False,0,missing_assembly_no_and_name,,unmatched,low,missing_assembly_no_and_name,True
Andhra Pradesh,15,WARANGAL,100.0,Palakurthi,Palakurthi,PALAKURTHI,False,False,False,54.54545454545454,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,15,WARANGAL,104.0,Parkal,Parkal,PARKAL,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,15,WARANGAL,105.0,Warangal West,Warangal West,WARANGAL WEST,False,False,False,46.15384615384615,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,15,WARANGAL,106.0,Warangal East,Warangal East,WARANGAL EAST,False,False,False,47.368421052631575,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,15,WARANGAL,107.0,Wardhannapet,Wardhannapet,WARDHANNAPET,False,False,False,53.84615384615385,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,15,WARANGAL,108.0,Bhupalpalle,Bhupalpalle,BHUPALPALLE,False,False,False,48.275862068965516,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,16,MAHABUBABAD (ST),101.0,Dornakal,Dornakal,DORNAKAL,False,False,False,47.61904761904761,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,16,MAHABUBABAD (ST),102.0,Mahabubabad,Mahabubabad,MAHABUBABAD,False,False,False,51.61290322580645,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,16,MAHABUBABAD (ST),103.0,Narsampet,Narsampet,NARSAMPET,False,False,False,53.333333333333336,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,16,MAHABUBABAD (ST),110.0,Pinapaka,Pinapaka,PINAPAKA,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,16,MAHABUBABAD (ST),111.0,Yellandu,Yellandu,YELLANDU,False,False,False,41.37931034482759,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,17,KHAMMAM,112.0,Khammam,Khammam,KHAMMAM,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,17,KHAMMAM,113.0,Palair,Palair,PALAIR,False,False,False,44.44444444444444,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,17,KHAMMAM,114.0,Madhira,Madhira,MADHIRA,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,17,KHAMMAM,115.0,Wyra,Wyra,WYRA,False,False,False,40.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,17,KHAMMAM,116.0,Sathupalle,Sathupalle,SATHUPALLE,False,False,False,51.61290322580645,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,17,KHAMMAM,117.0,Kothagudem,Kothagudem,KOTHAGUDEM,False,False,False,48.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,18,ARAKU,129.0,Palakonda,Palakonda,PALAKONDA,False,False,False,53.84615384615385,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,18,ARAKU,130.0,Kurupam,Kurupam,KURUPAM,False,False,False,41.66666666666667,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,18,ARAKU,131.0,Parvathipuram,Parvathipuram,PARVATHIPURAM,False,False,False,48.484848484848484,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,18,ARAKU,132.0,Salur,Salur,SALUR,False,False,False,47.05882352941176,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,18,ARAKU,147.0,Araku Valley,Araku Valley,ARAKU VALLEY,False,False,False,53.333333333333336,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,18,ARAKU,148.0,Paderu,Paderu,PADERU,False,False,False,41.66666666666667,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,19,SRIKAKULAM,120.0,Ichchapuram,Ichchapuram,ICHCHAPURAM,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,19,SRIKAKULAM,121.0,Palasa,Palasa,PALASA,False,False,False,42.10526315789473,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,19,SRIKAKULAM,122.0,Tekkali,Tekkali,TEKKALI,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,19,SRIKAKULAM,123.0,Pathapatnam,Pathapatnam,PATHAPATNAM,False,False,False,56.25,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,19,SRIKAKULAM,124.0,Srikakulam,Srikakulam,SRIKAKULAM,False,False,False,48.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,19,SRIKAKULAM,125.0,Amadalavalasa,Amadalavalasa,AMADALAVALASA,False,False,False,53.84615384615385,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,19,SRIKAKULAM,127.0,Narasannapeta,Narasannapeta,NARASANNAPETA,False,False,False,60.60606060606061,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,20,VIZIANAGARAM,126.0,Etcherla,Etcherla,ETCHERLA,False,False,False,46.15384615384615,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,20,VIZIANAGARAM,128.0,Rajam,Rajam,RAJAM,False,False,False,44.44444444444444,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,20,VIZIANAGARAM,133.0,Bobbili,Bobbili,BOBBILI,False,False,False,36.36363636363637,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,20,VIZIANAGARAM,134.0,Cheepurupalli,Cheepurupalli,CHEEPURUPALLI,False,False,False,47.05882352941176,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,20,VIZIANAGARAM,135.0,Gajapathinagaram,Gajapathinagaram,GAJAPATHINAGARAM,False,False,False,57.14285714285714,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,20,VIZIANAGARAM,136.0,Nellimarla,Nellimarla,NELLIMARLA,False,False,False,45.16129032258064,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,20,VIZIANAGARAM,137.0,Vizianagaram,Vizianagaram,VIZIANAGARAM,False,False,False,48.484848484848484,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,21,VISAKHAPATNAM,138.0,Srungavarapukota,Srungavarapukota,SRUNGAVARAPUKOTA,False,False,False,51.61290322580645,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,21,VISAKHAPATNAM,139.0,Bhimli,Bhimli,BHIMLI,False,False,False,35.714285714285715,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,21,VISAKHAPATNAM,141.0,Visakhapatnam South,Visakhapatnam South,VISAKHAPATNAM SOUTH,False,False,False,54.54545454545454,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,21,VISAKHAPATNAM,142.0,Visakhapatnam North,Visakhapatnam North,VISAKHAPATNAM NORTH,False,False,False,54.54545454545454,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,21,VISAKHAPATNAM,143.0,Visakhapatnam West,Visakhapatnam West,VISAKHAPATNAM WEST,False,False,False,51.162790697674424,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,21,VISAKHAPATNAM,144.0,Gajuwaka,Gajuwaka,GAJUWAKA,False,False,False,47.61904761904761,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,22,ANAKAPALLE,145.0,Chodavaram,Chodavaram,CHODAVARAM,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,22,ANAKAPALLE,146.0,Madugula,Madugula,MADUGULA,False,False,False,43.47826086956522,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,22,ANAKAPALLE,149.0,Anakapalle,Anakapalle,ANAKAPALLE,False,False,False,57.14285714285714,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,22,ANAKAPALLE,150.0,Pendurthi,Pendurthi,PENDURTHI,False,False,False,43.47826086956522,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,22,ANAKAPALLE,151.0,Yelamanchili,Yelamanchili,YELAMANCHILI,False,False,False,48.484848484848484,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,22,ANAKAPALLE,152.0,Payakaraopet,Payakaraopet,PAYAKARAOPET,False,False,False,46.15384615384615,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,22,ANAKAPALLE,153.0,Narsipatnam,Narsipatnam,NARSIPATNAM,False,False,False,56.25,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,23,KAKINADA,154.0,Tuni,Tuni,TUNI,False,False,False,35.294117647058826,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,23,KAKINADA,155.0,Prathipadu,Prathipadu,PRATHIPADU,False,False,False,45.16129032258064,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,23,KAKINADA,156.0,Pithapuram,Pithapuram,PITHAPURAM,False,False,False,51.85185185185185,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,23,KAKINADA,158.0,Peddapuram,Peddapuram,PEDDAPURAM,False,False,False,45.16129032258064,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,23,KAKINADA,160.0,Kakinada City,Kakinada City,KAKINADA CITY,False,False,False,48.275862068965516,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,23,KAKINADA,171.0,Jaggampeta,Jaggampeta,JAGGAMPETA,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,24,"AMALAPURAM (SC) 161-Ramachandrapuram, 62-Mummidivaram",163.0,Amalapuram,Amalapuram,AMALAPURAM,False,False,False,54.54545454545454,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,24,"AMALAPURAM (SC) 161-Ramachandrapuram, 62-Mummidivaram",164.0,Razole,Razole,RAZOLE,False,False,False,42.10526315789473,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,24,"AMALAPURAM (SC) 161-Ramachandrapuram, 62-Mummidivaram",165.0,Gannavaram,Gannavaram,GANNAVARAM,False,False,False,51.85185185185185,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,24,"AMALAPURAM (SC) 161-Ramachandrapuram, 62-Mummidivaram",166.0,Kothapeta,Kothapeta,KOTHAPETA,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,24,"AMALAPURAM (SC) 161-Ramachandrapuram, 62-Mummidivaram",167.0,Mandapeta,Mandapeta,MANDAPETA,False,False,False,60.86956521739131,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,25,RAJAHMUNDRY,159.0,Anaparthy,Anaparthy,ANAPARTHY,False,False,False,60.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,25,RAJAHMUNDRY,168.0,Rajanagaram,Rajanagaram,RAJANAGARAM,False,False,False,57.14285714285714,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,25,RAJAHMUNDRY,169.0,Rajahmundry City,Rajahmundry City,RAJAHMAHENDRAVARAM CITY,False,False,False,42.857142857142854,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,25,RAJAHMUNDRY,170.0,Rajahmundry Rural,Rajahmundry Rural,RAJAHMAHENDRAVARAM RURAL,False,False,False,53.333333333333336,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,25,RAJAHMUNDRY,173.0,Kovvur,Kovvur,KOVVUR,False,False,False,30.76923076923077,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,25,RAJAHMUNDRY,174.0,Nidadavole,Nidadavole,NIDADAVOLE,False,False,False,45.16129032258064,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,26,NARSAPURAM,175.0,Achanta,Achanta,ACHANTA,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,26,NARSAPURAM,176.0,Palacole,Palacole,PALACOLE,False,False,False,40.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,26,NARSAPURAM,177.0,Narsapuram,Narsapuram,NARSAPURAM,False,False,False,64.51612903225806,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,26,NARSAPURAM,178.0,Bhimavaram,Bhimavaram,BHIMAVARAM,False,False,False,45.16129032258064,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,26,NARSAPURAM,179.0,Undi,Undi,UNDI,False,False,False,44.44444444444444,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,26,NARSAPURAM,180.0,Tanuku,Tanuku,TANUKU,False,False,False,47.61904761904761,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,26,NARSAPURAM,181.0,Tadepalligudem,Tadepalligudem,TADEPALLIGUDEM,False,False,False,48.275862068965516,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,27,ELURU,182.0,Unguturu,Unguturu,UNGUTURU,False,False,False,40.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,27,ELURU,183.0,Denduluru,Denduluru,DENDULURU,False,False,False,43.47826086956522,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,27,ELURU,184.0,Eluru,Eluru,ELURU,False,False,False,44.44444444444444,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,27,ELURU,186.0,Polavaram,Polavaram,POLAVARAM,False,False,False,46.15384615384615,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,27,ELURU,187.0,Chintalapudi,Chintalapudi,CHINTALAPUDI,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,27,ELURU,189.0,Nuzvid,Nuzvid,NUZVID,False,False,False,32.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,27,ELURU,192.0,Kaikalur,Kaikalur,KAIKALUR,False,False,False,45.45454545454545,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,27,ELURU,,,,,False,False,False,,,False,0,missing_assembly_no_and_name,,unmatched,low,missing_assembly_no_and_name,True
Andhra Pradesh,28,MACHILIPATNAM,190.0,Gannavaram,Gannavaram,GANNAVARAM,False,False,False,51.85185185185185,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,28,MACHILIPATNAM,191.0,Gudivada,Gudivada,GUDIVADA,False,False,False,40.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,28,MACHILIPATNAM,193.0,Pedana,Pedana,PEDANA,False,False,False,47.05882352941176,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,28,MACHILIPATNAM,194.0,Machilipatnam,Machilipatnam,MACHILIPATNAM,False,False,False,52.94117647058824,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,28,MACHILIPATNAM,195.0,Avanigadda,Avanigadda,AVANIGADDA,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,28,MACHILIPATNAM,196.0,Pamarru,Pamarru,PAMARRU,False,False,False,47.05882352941176,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,28,MACHILIPATNAM,197.0,Penamaluru,Penamaluru,PENAMALURU,False,False,False,44.44444444444444,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,29,VIJAYAWADA,188.0,Tiruvuru,Tiruvuru,TIRUVURU,False,False,False,43.47826086956522,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,29,VIJAYAWADA,198.0,Vijayawada West,Vijayawada West,VIJAYAWADA WEST,False,False,False,48.484848484848484,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,29,VIJAYAWADA,200.0,Vijayawada East,Vijayawada East,VIJAYAWADA EAST,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,29,VIJAYAWADA,201.0,Mylavaram,Mylavaram,MYLAVARAM,False,False,False,40.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,29,VIJAYAWADA,202.0,Nandigama,Nandigama,NANDIGAMA,False,False,False,46.15384615384615,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,29,VIJAYAWADA,203.0,Jaggayyapeta,Jaggayyapeta,JAGGAYYAPETA,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,30,GUNTUR,205.0,Tadikonda,Tadikonda,TADIKONDA,False,False,False,48.275862068965516,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,30,GUNTUR,206.0,Mangalagiri,Mangalagiri,MANGALAGIRI,False,False,False,50.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,30,GUNTUR,207.0,Ponnuru,Ponnuru,PONNURU,False,False,False,47.61904761904761,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,30,GUNTUR,210.0,Tenali,Tenali,TENALI,False,False,False,42.10526315789473,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,30,GUNTUR,212.0,Prathipadu,Prathipadu,PRATHIPADU,False,False,False,45.16129032258064,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,30,GUNTUR,213.0,Guntur West,Guntur West,GUNTUR WEST,False,False,False,40.0,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,30,GUNTUR,214.0,Guntur East,Guntur East,GUNTUR EAST,False,False,False,46.666666666666664,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,31,NARASARAOPET,204.0,Pedakurapadu,Pedakurapadu,PEDAKURAPADU,False,False,False,48.484848484848484,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,31,NARASARAOPET,215.0,Chilakaluripet,Chilakaluripet,CHILAKALURIPET,False,False,False,57.14285714285714,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,31,NARASARAOPET,216.0,Narasaraopet,Narasaraopet,NARASARAOPET,False,False,False,60.60606060606061,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,31,NARASARAOPET,217.0,Sattenapalli,Sattenapalli,SATTENAPALLI,False,False,False,43.47826086956522,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,31,NARASARAOPET,218.0,Vinukonda,Vinukonda,VINUKONDA,False,False,False,41.66666666666667,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
Andhra Pradesh,31,NARASARAOPET,219.0,Gurajala,Gurajala,GURAJALA,False,False,False,47.61904761904761,,False,0,assembly_no_missing_in_table_a,,unmatched,low,assembly_no_missing_in_table_a,True
